model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost,0.8622945052133307,0.8624,accuracy,0.034895896911621094,0.006920814514160156,1.3923978805541992,0.034895896911621094,0.006920814514160156,1.3923978805541992,1,True,8
NeuralNetTorch,0.8622945052133307,0.8624,accuracy,0.21461009979248047,0.012760162353515625,65.78769898414612,0.21461009979248047,0.012760162353515625,65.78769898414612,1,True,9
RandomForestEntr,0.8622945052133307,0.8624,accuracy,0.3836188316345215,0.0812690258026123,8.11756706237793,0.3836188316345215,0.0812690258026123,8.11756706237793,1,True,5
RandomForestGini,0.8622945052133307,0.8624,accuracy,0.38878607749938965,0.08114409446716309,7.9669189453125,0.38878607749938965,0.08114409446716309,7.9669189453125,1,True,4
ExtraTreesGini,0.8622945052133307,0.8624,accuracy,0.39268994331359863,0.09399127960205078,6.98424768447876,0.39268994331359863,0.09399127960205078,6.98424768447876,1,True,6
ExtraTreesEntr,0.8622945052133307,0.8624,accuracy,0.4034700393676758,0.08008217811584473,6.811753034591675,0.4034700393676758,0.08008217811584473,6.811753034591675,1,True,7
WeightedEnsemble_L2,0.8622945052133307,0.8624,accuracy,0.40760111808776855,0.0821084976196289,6.930145978927612,0.0041310787200927734,0.0020263195037841797,0.1183929443359375,2,True,10
NeuralNetFastAI,0.8622945052133307,0.8624,accuracy,0.7237229347229004,0.05663180351257324,131.71733283996582,0.7237229347229004,0.05663180351257324,131.71733283996582,1,True,3
KNeighborsUnif,0.8318620866116548,0.828,accuracy,3.3970839977264404,0.19165420532226562,4.298898935317993,3.3970839977264404,0.19165420532226562,4.298898935317993,1,True,1
KNeighborsDist,0.8318141111750783,0.828,accuracy,2.9339418411254883,0.1459670066833496,0.3585317134857178,2.9339418411254883,0.1459670066833496,0.3585317134857178,1,True,2
