model,Accuracy,TrainingTime,PredictionTime
SVM Linear Kernel,0.8622945052133307,231.55755496025085,50.66634392738342
Decision Tree Classifier,0.8622945052133307,0.047998905181884766,0.003724813461303711
Logistic Regression,0.8622945052133307,0.19045019149780273,0.0034699440002441406
