GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,84.2,2.1,0.1,0.1,0.0,99.4
00602,49.1,1.5,0.1,0.1,0.0,94.6
00603,73.8,3.5,0.1,0.1,0.0,98.1
00606,66.6,0.2,0.0,0.0,0.0,99.3
00610,43.8,2.3,0.0,0.0,0.0,96.3
00611,58.2,1.1,0.0,0.0,0.0,95.7
00612,37.2,2.8,0.1,0.9,0.0,99.4
00616,36.5,6.5,0.0,1.5,0.0,99.8
00617,37.6,3.3,0.2,1.6,0.0,99.1
00622,45.0,5.5,0.0,0.0,0.0,98.6
00623,41.6,4.5,0.4,0.5,0.0,99.1
00624,74.2,2.8,0.0,0.1,0.0,99.3
00627,81.5,1.7,0.1,0.0,0.0,99.2
00631,96.2,0.6,0.0,0.0,0.0,100.0
00636,57.0,0.0,0.0,0.0,0.0,100.0
00637,64.6,0.5,0.3,0.0,0.0,99.0
00638,51.2,3.4,1.4,0.4,0.0,99.3
00641,49.1,1.3,0.0,0.1,0.0,98.2
00646,44.7,6.3,0.0,0.0,0.0,97.4
00647,49.7,6.1,0.0,0.1,0.0,98.9
00650,45.5,0.6,0.0,1.4,0.0,99.7
00652,40.6,1.9,1.0,1.2,0.0,97.7
00653,63.1,4.8,0.2,0.0,0.0,99.1
00656,76.8,1.9,0.2,0.5,0.0,99.7
00659,77.7,3.4,0.2,0.0,0.0,99.5
00660,21.0,2.5,0.0,0.0,0.0,98.6
00662,55.8,7.8,0.1,0.1,0.0,98.1
00664,53.8,3.7,0.0,0.0,0.0,98.3
00667,42.5,2.6,0.0,0.0,0.0,97.9
00669,87.2,2.3,0.1,0.0,0.0,99.0
00670,56.0,2.3,0.0,0.0,0.0,99.6
00674,41.4,2.6,0.1,0.3,0.0,97.4
00676,76.6,4.6,0.3,0.0,0.0,99.4
00677,39.4,2.2,0.0,0.0,0.0,93.8
00678,69.3,3.6,0.3,0.0,0.0,98.2
00680,17.5,2.3,0.0,0.1,0.0,99.6
00682,16.1,2.8,0.0,0.0,0.0,98.6
00683,64.3,1.1,0.0,0.0,0.1,99.0
00685,72.7,2.8,0.1,0.1,0.0,96.1
00687,43.6,4.1,0.0,0.0,0.0,99.6
00688,27.0,1.5,0.0,1.0,0.0,99.5
00690,69.5,3.5,0.0,0.0,0.0,99.7
00692,33.4,6.7,0.0,0.0,0.0,99.1
00693,40.4,4.9,0.0,0.0,0.0,97.9
00694,0.0,0.0,0.0,0.0,0.0,100.0
00698,73.9,2.7,0.1,0.0,0.0,98.9
00703,40.7,6.7,1.4,0.0,0.0,99.4
00704,30.1,19.8,0.0,0.0,0.0,98.6
00705,35.4,9.6,0.5,0.0,0.0,99.8
00707,9.2,36.6,0.0,0.0,0.0,99.6
00714,53.4,19.6,0.0,0.0,0.0,99.4
00715,39.3,8.6,0.0,0.0,0.0,100.0
00716,56.1,6.1,0.2,0.1,0.0,99.1
00717,52.9,6.0,0.6,0.1,0.0,99.1
00718,33.9,1.7,0.0,0.1,0.0,99.0
00719,46.1,7.7,0.0,0.0,0.0,100.0
00720,46.7,5.0,0.3,0.0,0.0,99.3
00723,6.6,35.0,0.0,0.0,0.0,100.0
00725,55.5,8.8,0.3,0.2,0.0,98.0
00727,54.7,9.3,0.2,0.5,0.0,98.3
00728,61.0,6.5,0.1,0.1,0.0,99.3
00729,29.2,14.2,0.1,0.7,0.0,99.9
00730,47.5,4.6,0.0,0.0,0.0,99.3
00731,52.5,6.2,0.0,0.0,0.0,99.8
00735,26.6,5.7,0.4,0.5,0.0,98.3
00736,38.9,9.0,0.6,0.2,0.0,99.7
00738,30.6,6.8,0.1,0.2,0.0,99.4
00739,39.9,11.5,0.6,0.1,0.0,99.4
00740,33.4,4.3,0.0,0.0,0.0,100.0
00741,18.3,10.3,0.0,0.0,0.0,99.5
00745,27.5,11.9,0.3,0.4,0.0,99.2
00751,27.8,18.3,0.2,0.0,0.0,99.6
00754,12.2,28.2,0.0,0.3,0.0,99.6
