GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,72.9,1.5,0.1,0.0,0.0,99.6
00602,76.5,2.7,0.3,0.0,0.0,92.7
00603,78.0,3.6,0.2,0.1,0.0,97.6
00606,50.7,1.5,0.4,0.0,0.0,99.1
00610,75.6,1.7,0.0,0.0,0.0,95.1
00612,66.7,4.1,0.1,0.9,0.0,99.2
00616,68.6,7.9,0.0,0.6,0.0,99.4
00617,70.2,3.4,0.0,0.6,0.0,99.3
00622,26.4,0.7,0.0,0.0,0.0,99.7
00623,24.4,1.9,0.3,0.3,0.0,99.4
00624,70.4,3.2,0.0,0.1,0.0,99.5
00627,90.6,1.5,0.0,0.0,0.0,99.3
00631,73.9,0.0,0.0,0.0,0.0,100.0
00637,63.5,1.8,0.3,0.0,0.0,99.3
00638,83.9,1.5,0.9,0.1,0.0,99.1
00641,44.8,1.0,0.0,0.1,0.0,99.0
00646,67.5,11.5,0.0,0.1,0.0,97.1
00647,48.5,5.8,0.0,0.0,0.0,99.3
00650,72.5,1.9,0.0,0.8,0.0,99.0
00652,74.8,1.8,0.0,1.1,0.0,98.5
00653,54.8,5.1,0.2,0.0,0.0,98.4
00656,76.6,1.6,0.0,0.7,0.0,99.6
00659,91.6,1.4,0.0,0.1,0.0,99.6
00660,21.5,2.7,0.0,0.0,0.0,99.6
00662,60.7,7.0,0.0,0.0,0.0,98.4
00664,50.7,2.7,0.3,0.0,0.0,99.2
00667,26.5,1.1,0.0,0.0,0.0,98.2
00669,71.1,1.2,0.0,0.0,0.0,99.2
00670,49.7,1.0,0.0,0.0,0.0,99.5
00674,75.2,3.8,0.1,0.4,0.0,97.8
00676,80.4,4.0,0.0,0.1,0.0,99.3
00677,72.3,0.6,0.0,0.0,0.0,90.3
00678,84.4,2.5,0.1,0.0,0.0,98.3
00680,24.4,3.0,0.4,0.0,0.0,99.6
00682,26.3,3.2,0.0,0.0,0.0,98.8
00683,58.4,1.6,0.1,0.0,0.1,99.0
00685,62.1,3.7,0.0,0.3,0.0,96.4
00687,79.6,2.9,0.1,0.0,0.0,99.6
00688,64.4,1.7,0.2,0.8,0.0,99.6
00690,80.9,2.1,0.0,0.0,0.0,99.7
00692,60.6,8.4,0.0,0.0,0.0,98.5
00693,73.8,5.4,0.1,0.0,0.0,97.1
00694,100.0,0.0,0.0,0.0,0.0,100.0
00698,72.5,3.6,0.2,0.0,0.0,99.1
00703,46.6,8.9,0.7,0.0,0.0,99.4
00704,48.7,33.6,0.1,0.2,0.0,98.8
00705,64.2,15.8,0.3,0.1,0.0,99.5
00707,10.0,71.1,0.1,0.0,0.0,98.5
00714,63.0,26.0,0.0,0.0,0.0,99.8
00715,55.9,13.8,0.8,0.0,0.0,100.0
00716,75.9,6.8,0.0,0.1,0.0,98.9
00717,68.8,6.3,0.5,0.0,0.0,99.3
00718,61.9,3.4,0.0,0.3,0.0,99.0
