GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,93.1,1.0,0.0,0.0,0.0,99.2
00602,74.9,4.3,0.1,0.2,0.0,94.1
00603,84.5,3.3,0.0,0.5,0.0,95.4
00606,96.4,1.3,0.0,0.0,0.0,99.8
00610,87.7,2.9,0.0,0.1,0.0,99.3
00612,83.6,4.0,0.3,1.2,0.0,99.3
00616,91.5,2.5,0.0,0.0,0.0,99.7
00617,96.0,1.3,0.2,0.0,0.0,99.2
00622,95.5,2.0,0.0,0.0,0.0,99.8
00623,95.4,2.9,0.0,0.0,0.0,99.6
00624,85.6,2.4,0.5,0.0,0.0,98.9
00627,95.2,1.5,0.0,0.2,0.0,99.2
00631,88.2,0.0,0.0,0.0,0.0,97.3
00637,93.4,2.2,0.5,0.0,0.0,98.7
00638,94.0,0.9,0.0,0.0,0.0,99.7
00641,89.3,2.3,0.0,0.1,0.0,98.8
00646,71.2,13.9,0.1,0.1,0.0,97.5
00647,95.0,2.7,0.1,0.0,0.0,98.2
00650,97.1,0.7,0.0,0.0,0.0,99.6
00652,93.1,2.7,0.0,0.5,0.0,99.2
00653,91.3,3.5,0.3,0.0,0.0,99.3
00656,89.2,4.0,0.4,0.0,0.0,99.0
00659,94.6,1.0,0.0,0.4,0.0,99.1
00660,61.0,3.3,0.0,0.6,0.0,98.4
00662,68.4,6.4,0.6,0.0,0.0,99.3
00664,79.8,3.0,0.9,0.4,0.0,99.7
00667,94.3,2.5,0.0,0.0,0.0,99.4
00669,93.4,0.6,0.0,0.1,0.0,99.5
00670,96.3,2.0,0.3,0.0,0.0,99.7
00674,87.7,3.4,0.1,0.0,0.0,99.1
00676,92.4,1.6,0.0,0.0,0.1,98.9
00677,70.8,7.0,0.2,0.0,0.0,91.3
00678,76.8,3.6,0.4,0.1,0.0,99.6
00680,63.7,3.0,0.1,0.1,0.0,98.7
00682,52.4,4.8,0.0,0.1,0.0,98.4
00683,94.9,2.4,0.1,0.0,0.0,99.6
00685,94.7,0.9,0.0,0.2,0.0,99.1
00687,82.6,2.1,0.0,0.0,0.0,99.9
00688,91.6,2.4,0.1,0.2,0.0,99.1
00690,76.3,3.9,0.0,0.0,0.0,97.8
00692,78.8,8.6,0.0,0.0,0.0,98.1
00693,92.7,3.0,0.3,0.1,0.0,98.0
00694,92.1,0.0,0.0,0.0,0.0,100.0
00698,92.0,2.2,0.3,0.1,0.0,99.0
00703,80.6,2.9,0.0,0.0,0.0,99.6
00704,53.2,6.2,0.0,0.0,0.0,99.6
00705,79.4,7.0,0.1,0.0,0.0,99.8
00707,44.2,21.6,0.3,0.0,0.0,99.5
00714,51.2,20.7,0.0,0.0,0.0,99.0
00715,50.5,14.9,0.0,0.0,0.0,100.0
00716,64.9,6.3,0.0,0.2,0.0,99.3
00717,65.0,6.9,0.0,0.1,0.0,99.5
00718,72.5,4.9,0.0,0.6,0.0,98.9
00719,41.1,2.3,0.0,0.0,0.0,99.8
00720,74.6,2.7,0.0,0.2,0.0,99.3
00723,59.0,13.6,0.7,0.0,0.0,99.2
00725,75.0,7.0,0.1,0.2,0.0,99.2
00727,80.3,5.2,0.1,0.0,0.0,99.4
00728,81.4,3.6,0.2,0.0,0.0,99.3
00729,50.0,14.9,0.1,0.7,0.0,99.9
00730,68.1,5.9,0.1,0.1,0.0,99.1
00731,80.8,2.9,0.2,0.0,0.0,99.7
00735,66.8,5.1,0.0,1.1,0.0,99.2
00736,74.3,3.6,0.0,0.4,0.0,99.5
00738,58.9,9.9,0.3,0.5,0.0,99.0
00739,73.4,2.7,0.1,0.3,0.0,99.6
00740,52.4,7.2,0.0,0.0,0.0,100.0
00741,55.0,10.9,1.6,0.0,0.0,99.0
00745,52.8,13.5,0.2,0.2,0.0,99.5
00751,55.5,5.8,0.1,0.0,0.0,99.2
00754,76.7,4.1,0.0,0.2,0.0,99.3
00757,56.6,5.5,0.0,0.0,0.0,99.9
00765,51.3,12.3,0.6,0.2,0.0,96.7
00766,72.2,1.9,0.2,0.0,0.0,99.5
00767,64.7,6.6,0.1,0.2,0.0,99.5
00769,69.4,4.7,0.0,0.0,0.0,99.6
00771,60.6,5.8,0.5,0.3,0.0,99.9
00772,16.5,39.8,0.3,0.5,0.0,99.9
00773,52.8,9.6,0.3,0.8,0.0,98.2
00775,63.5,7.3,0.0,0.0,0.0,92.8
00777,87.7,4.2,0.0,0.0,0.0,99.0
00778,58.2,9.6,0.0,0.2,0.0,99.5
00780,66.6,3.2,0.0,0.0,0.0,99.8
00782,64.9,2.4,0.0,0.0,0.0,99.6
00783,41.7,0.6,0.0,0.0,0.0,99.4
00784,64.0,11.6,0.7,0.0,0.0,99.9
00786,95.9,0.0,0.0,0.0,0.0,100.0
00791,61.5,5.8,0.2,0.4,0.0,99.1
00794,37.3,2.4,0.1,0.0,0.0,99.7
00795,64.4,8.0,0.2,0.4,0.0,99.7
