GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,81.1,0.6,0.1,0.0,0.0,99.8
00602,57.8,2.4,0.0,0.2,0.0,93.5
00603,68.2,4.2,0.2,1.2,0.0,96.8
00606,59.2,2.8,0.0,0.0,0.0,99.8
00610,58.1,3.6,0.0,0.1,0.0,97.9
00612,82.8,5.2,0.4,1.1,0.0,99.6
00616,89.4,4.1,0.3,0.0,0.0,99.5
00617,91.9,2.3,0.0,0.4,0.0,99.4
00622,61.3,1.3,0.0,0.0,0.0,99.1
00623,59.9,3.4,0.1,0.0,0.0,99.9
00624,83.0,3.1,0.2,0.2,0.0,99.7
00627,79.7,2.1,0.1,0.0,0.0,99.3
00631,73.1,0.0,0.0,0.0,0.0,99.5
00637,79.2,2.5,0.3,0.0,0.0,99.3
00638,96.0,0.7,0.0,0.0,0.0,99.6
00641,78.3,1.5,0.2,0.9,0.0,99.6
00646,77.0,12.8,0.0,0.1,0.0,98.2
00647,80.8,1.7,0.0,0.0,0.0,100.0
00650,93.0,1.8,0.0,0.4,0.0,99.6
00652,88.8,1.5,0.0,0.6,0.0,99.6
00653,76.3,3.1,0.2,0.0,0.0,99.5
00656,83.6,2.7,0.6,0.2,0.0,99.5
00659,97.2,0.7,0.0,0.0,0.0,99.8
00660,35.6,1.9,0.0,0.4,0.0,99.4
00662,69.8,5.8,0.3,0.0,0.0,98.5
00664,86.6,0.7,0.3,0.1,0.0,99.8
00667,61.8,1.9,0.2,0.0,0.0,99.9
00669,79.2,0.8,0.0,0.1,0.0,99.5
00670,73.4,0.8,0.2,0.0,0.0,99.0
00674,85.7,4.2,0.1,0.0,0.0,98.6
00676,72.8,3.2,0.2,0.1,0.0,99.1
00677,58.3,1.4,0.0,0.2,0.0,90.3
00678,76.6,5.1,0.2,0.1,0.0,99.1
00680,44.7,3.7,0.4,0.0,0.0,99.3
00682,39.8,3.6,0.1,0.1,0.0,98.8
00683,74.4,2.2,0.1,0.0,0.0,99.6
00685,80.2,2.1,0.0,0.1,0.0,99.1
00687,92.6,1.0,0.1,0.1,0.0,99.8
00688,93.4,1.6,0.0,0.1,0.0,99.1
00690,58.5,1.3,0.0,0.4,0.0,95.0
00692,78.7,10.5,0.1,0.2,0.0,98.3
00693,90.0,3.7,0.3,0.1,0.1,96.7
00694,100.0,0.0,0.0,0.0,0.0,100.0
00698,84.1,3.1,0.3,0.0,0.0,99.6
00703,80.8,7.9,0.6,0.0,0.0,99.3
00704,63.3,16.3,0.5,0.2,0.0,98.5
00705,82.2,6.8,0.1,0.2,0.0,99.6
00707,44.6,48.2,0.1,0.0,0.0,98.8
00714,57.7,22.2,0.0,0.0,0.0,99.8
00715,50.3,22.9,0.2,0.0,0.0,99.1
00716,79.2,5.4,0.0,0.0,0.0,99.2
00717,77.6,5.0,0.1,0.4,0.0,98.7
00718,64.2,5.0,0.0,1.1,0.0,99.6
00719,73.2,6.1,0.0,0.0,0.0,99.7
00720,85.0,2.2,0.0,0.0,0.0,99.8
00723,50.9,41.1,0.8,0.0,0.1,99.7
00725,75.1,9.3,0.2,0.5,0.0,99.0
00727,79.1,6.9,0.1,0.3,0.0,99.0
00728,81.4,4.4,0.2,0.2,0.0,99.5
00729,48.7,14.0,0.1,0.4,0.0,99.7
00730,78.3,6.7,0.1,0.1,0.0,99.0
00731,82.2,1.7,0.2,0.0,0.0,99.6
00735,59.5,8.3,0.1,1.2,0.0,98.9
00736,78.0,4.1,0.0,0.4,0.0,99.4
00738,58.0,10.0,0.0,0.5,0.0,99.0
00739,79.7,5.5,0.3,0.2,0.0,99.7
00740,57.2,17.6,0.8,0.6,0.0,100.0
00741,41.3,30.2,1.1,0.0,0.0,100.0
00745,52.7,13.2,0.1,0.3,0.0,99.5
00751,55.2,20.7,0.1,0.5,0.0,99.2
00754,85.1,6.6,0.1,0.1,0.0,99.8
00757,58.8,19.6,0.1,0.0,0.0,99.6
00765,47.3,12.5,1.3,2.0,0.0,96.3
00766,54.1,3.5,0.1,0.0,0.0,99.9
00767,54.4,36.4,0.3,0.0,0.0,99.9
00769,66.1,15.8,0.0,0.0,0.0,99.4
00771,64.3,30.8,0.0,0.4,0.0,99.6
00772,15.3,40.7,0.0,0.2,0.0,99.9
00773,58.3,8.6,0.3,0.6,0.0,98.4
00775,49.8,4.7,0.3,1.0,0.0,94.1
00777,63.7,5.2,0.0,0.0,0.0,99.4
00778,65.7,13.8,0.1,0.2,0.0,98.5
00780,74.3,2.4,0.0,0.0,0.0,98.7
00782,69.0,5.3,0.3,0.1,0.0,99.7
00783,72.2,4.8,0.0,0.0,0.0,99.2
00784,74.0,12.7,0.0,0.2,0.0,99.2
00786,100.0,0.0,0.0,0.0,0.0,100.0
00791,59.7,11.4,0.3,0.9,0.0,98.8
00794,73.7,2.9,0.0,0.0,0.0,100.0
00795,51.6,10.6,0.0,0.1,0.0,99.9
00901,73.5,11.8,0.2,0.4,0.0,94.4
00906,90.8,0.0,0.0,9.2,0.0,100.0
00907,75.5,10.8,0.6,0.2,0.0,95.3
00909,57.7,12.8,1.9,0.1,0.0,99.0
00911,71.8,9.0,2.9,0.4,0.0,91.3
00912,49.8,18.8,0.7,1.3,0.0,98.2
00913,56.8,12.8,1.0,0.0,0.0,98.9
00915,45.1,17.3,2.0,0.5,0.0,99.0
00917,74.7,14.4,0.6,0.2,0.1,99.1
00918,85.8,4.5,0.0,0.1,0.0,99.0
00920,68.4,21.1,0.0,0.2,0.0,98.6
00921,64.7,24.7,0.1,0.1,0.0,99.0
00923,71.8,14.0,0.3,0.6,0.0,98.5
00924,63.9,15.8,0.6,1.0,0.0,98.2
00925,57.1,13.3,0.2,3.3,0.0,95.1
00926,78.0,7.1,0.2,0.5,0.0,98.8
00927,87.2,4.6,0.1,1.3,0.0,97.0
00934,17.9,82.1,0.0,0.0,0.0,0.0
00936,77.8,2.0,0.0,1.9,0.0,99.2
00949,57.1,8.0,0.1,0.1,0.0,99.2
00950,-,-,-,-,-,-
00951,0.0,100.0,0.0,0.0,0.0,100.0
00952,41.2,8.9,0.0,0.0,0.0,99.5
00953,74.2,7.9,0.3,0.4,0.0,99.2
00956,66.4,8.6,0.4,0.3,0.0,99.3
00957,62.9,6.0,0.7,0.2,0.0,99.5
00959,64.2,6.6,0.9,0.1,0.0,98.9
00960,42.6,8.9,0.0,0.3,0.0,98.1
00961,51.7,7.3,0.6,0.3,0.0,98.5
00962,62.9,11.0,0.1,0.3,0.0,99.2
00965,57.1,8.3,0.8,0.0,0.0,99.4
00966,82.7,3.7,0.5,0.0,0.0,98.7
00968,91.0,2.4,0.0,1.0,0.0,97.9
00969,82.5,3.9,0.3,0.2,0.0,98.1
00971,70.2,7.8,0.3,0.0,0.0,99.5
00976,74.4,9.8,0.2,0.0,0.0,99.3
00979,71.2,14.5,1.4,2.0,0.0,93.2
00982,53.8,26.9,2.8,0.1,0.0,99.8
00983,52.5,25.1,3.2,0.3,0.0,99.2
00985,54.0,26.2,1.9,0.3,0.0,99.4
00987,55.4,22.4,2.9,0.0,0.0,99.3
01001,91.7,1.5,0.0,4.0,0.1,7.5
01002,78.3,5.7,0.5,11.7,0.1,6.2
01003,77.0,5.8,0.3,13.6,0.0,4.7
01005,96.8,2.0,0.0,0.6,0.3,1.5
01007,93.4,0.8,0.0,3.0,0.0,2.0
01008,99.0,0.0,0.0,0.6,0.0,0.3
01009,100.0,0.0,0.0,0.0,0.0,0.0
01010,99.6,0.2,0.0,0.2,0.0,1.2
01011,96.0,1.0,0.0,0.7,0.0,3.3
01012,98.5,0.0,0.0,0.0,0.4,2.1
01013,84.3,3.5,0.1,2.3,0.0,25.1
01020,88.8,3.1,0.2,1.3,0.0,14.6
01022,73.1,16.4,0.0,1.8,0.0,10.6
01026,95.7,3.2,0.0,0.0,0.0,1.0
