GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,94.3,0.6,0.1,0.0,0.0,99.8
00602,57.5,1.7,0.0,0.2,0.0,93.6
00603,69.0,3.9,0.1,1.2,0.0,96.2
00606,69.5,2.4,0.0,0.0,0.0,99.9
00610,62.8,3.4,0.0,0.1,0.0,98.8
00612,82.9,5.0,0.5,1.2,0.0,99.6
00616,94.2,2.1,0.3,0.0,0.0,99.8
00617,93.9,2.2,0.0,0.1,0.0,99.4
00622,70.7,1.4,0.0,0.0,0.0,99.1
00623,75.4,3.5,0.1,0.0,0.0,99.8
00624,84.6,3.5,0.2,0.2,0.0,99.4
00627,82.6,1.6,0.1,0.0,0.0,99.4
00631,91.1,0.0,0.0,0.0,0.0,99.5
00637,84.5,3.0,0.4,0.0,0.0,99.0
00638,95.6,0.8,0.0,0.0,0.0,99.5
00641,86.9,1.8,0.2,0.8,0.0,99.6
00646,76.1,13.6,0.0,0.1,0.0,97.9
00647,85.6,2.2,0.1,0.0,0.0,99.9
00650,94.4,1.7,0.0,0.5,0.0,99.8
00652,90.6,1.6,0.0,0.6,0.0,99.6
00653,81.7,3.5,0.4,0.0,0.0,99.4
00656,87.9,3.0,0.6,0.1,0.0,99.5
00659,96.7,0.8,0.0,0.3,0.0,99.3
00660,34.7,2.1,0.0,0.4,0.0,99.5
00662,68.1,5.5,0.4,0.0,0.0,98.9
00664,88.4,1.5,0.0,0.1,0.0,99.8
00667,74.2,2.3,0.2,0.0,0.0,99.9
00669,91.0,0.9,0.0,0.1,0.0,99.6
00670,82.8,0.8,0.2,0.0,0.0,98.9
00674,85.9,4.5,0.1,0.0,0.0,98.6
00676,76.0,2.8,0.2,0.0,0.0,99.2
00677,56.1,1.5,0.0,0.2,0.0,91.0
00678,72.4,4.9,0.2,0.1,0.0,99.3
00680,50.9,3.6,0.1,0.0,0.0,99.2
00682,44.7,4.4,0.1,0.1,0.0,98.7
00683,82.7,2.5,0.1,0.0,0.0,99.6
