GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,92.4,1.4,0.0,0.0,0.0,99.1
00602,85.9,4.3,0.1,0.0,0.0,93.5
00603,89.2,3.2,0.0,0.3,0.0,96.5
00606,97.6,0.7,0.0,0.0,0.0,99.7
00610,91.7,2.4,0.0,0.0,0.0,98.9
00612,82.8,3.6,0.5,1.0,0.0,99.3
00616,92.4,2.7,0.0,0.0,0.0,99.7
00617,96.1,1.5,0.2,0.0,0.0,99.5
00622,97.1,0.6,0.0,0.0,0.0,98.0
00623,96.6,1.6,0.0,0.0,0.0,99.4
00624,86.1,2.7,0.5,0.0,0.0,98.9
00627,94.9,1.2,0.0,0.2,0.0,99.0
00631,83.9,0.0,0.0,0.0,0.0,96.4
00637,94.3,2.1,0.3,0.0,0.0,99.0
00638,89.9,0.9,0.0,0.0,0.0,99.7
00641,86.7,2.3,0.0,0.1,0.0,97.8
00646,70.4,13.5,0.1,0.2,0.0,98.1
00647,93.8,2.9,0.1,0.0,0.0,97.1
00650,95.9,0.3,0.0,0.0,0.0,99.2
00652,91.2,4.1,0.0,0.7,0.0,99.7
00653,90.4,3.0,0.2,0.0,0.0,99.3
00656,89.3,3.5,0.4,0.0,0.0,99.0
00659,94.4,1.2,0.0,0.4,0.0,99.0
00660,73.5,3.2,0.0,0.6,0.0,98.2
00662,71.8,5.7,0.7,0.0,0.0,99.4
00664,77.8,3.0,0.7,0.2,0.0,99.3
00667,94.0,2.5,0.2,0.0,0.0,99.4
00669,88.6,0.9,0.1,0.4,0.0,99.1
00670,96.3,1.6,0.0,0.0,0.0,99.9
00674,86.9,4.1,0.1,0.0,0.0,99.2
00676,94.9,1.1,0.0,0.0,0.0,98.9
00677,82.7,8.5,0.2,0.0,0.0,91.3
00678,80.7,3.0,0.3,0.1,0.0,99.6
00680,66.9,3.2,0.0,0.1,0.0,98.5
00682,56.0,5.1,0.1,0.4,0.0,98.0
00683,94.7,2.8,0.2,0.0,0.0,98.7
00685,90.4,1.0,0.0,0.2,0.0,99.1
00687,82.3,2.3,0.0,0.0,0.0,99.7
00688,91.0,2.5,0.4,0.2,0.0,99.2
00690,85.4,3.6,0.0,0.1,0.0,98.3
00692,76.2,9.0,0.1,0.0,0.0,98.1
00693,93.2,2.6,0.1,0.0,0.0,98.0
00694,84.9,0.0,0.0,0.0,0.0,100.0
00698,91.2,2.0,0.4,0.1,0.0,98.8
00703,85.5,1.7,0.0,0.0,0.0,98.9
00704,48.7,5.5,0.0,0.0,0.0,99.8
00705,81.3,5.1,0.1,0.0,0.0,99.7
00707,41.4,20.6,0.4,0.0,0.0,99.0
00714,48.0,17.0,0.0,0.0,0.0,98.6
