GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,73.7,1.1,0.2,0.0,0.0,99.6
00602,85.2,2.4,0.1,0.0,0.0,92.5
00603,79.4,3.2,0.1,0.2,0.0,97.4
00606,45.5,1.4,0.3,0.0,0.0,99.2
00610,82.6,1.7,0.0,0.0,0.0,95.1
00612,77.8,4.8,0.3,1.0,0.0,99.1
00616,81.3,7.1,0.1,0.4,0.0,99.5
00617,81.5,3.6,0.0,0.6,0.0,99.5
00622,22.8,0.3,0.0,0.0,0.0,99.7
00623,22.7,1.8,0.3,0.1,0.0,99.6
00624,71.3,3.8,0.0,0.2,0.0,99.5
00627,86.1,1.8,0.0,0.0,0.0,98.9
00631,69.2,0.0,0.0,0.0,0.0,100.0
00637,70.1,2.1,0.2,0.0,0.0,99.7
00638,93.3,1.5,0.3,0.1,0.0,99.0
00641,52.7,1.1,0.1,0.1,0.0,99.3
00646,77.8,12.7,0.0,0.1,0.0,97.8
00647,57.2,5.0,0.0,0.0,0.0,99.8
00650,81.7,1.3,0.0,0.9,0.0,99.0
00652,87.3,1.6,0.0,0.0,0.0,98.9
00653,57.2,5.3,0.3,0.0,0.0,98.5
00656,78.5,2.2,0.1,0.7,0.0,99.4
00659,97.6,0.8,0.0,0.1,0.0,99.6
00660,25.7,2.4,0.0,0.0,0.0,99.8
00662,65.6,5.3,0.1,0.0,0.0,98.7
00664,57.3,2.4,0.4,0.0,0.0,99.7
00667,25.2,0.8,0.1,0.0,0.0,98.7
00669,70.9,0.8,0.0,0.0,0.0,99.2
00670,47.8,0.9,0.0,0.0,0.0,99.7
00674,83.1,4.3,0.2,0.3,0.0,97.9
00676,82.4,3.2,0.0,0.1,0.0,99.3
00677,85.9,0.4,0.0,0.0,0.0,88.3
00678,84.8,3.9,0.1,0.2,0.0,98.3
00680,27.3,3.4,0.3,0.0,0.0,99.4
00682,27.6,3.6,0.0,0.1,0.0,98.9
00683,58.5,1.6,0.0,0.0,0.1,99.5
00685,65.3,3.6,0.0,0.3,0.0,96.7
00687,88.0,2.0,0.1,0.0,0.0,99.6
00688,75.4,2.1,0.2,0.6,0.0,99.4
00690,83.5,1.2,0.0,0.4,0.0,99.4
00692,71.5,10.1,0.0,0.1,0.0,98.3
00693,82.8,5.5,0.1,0.0,0.0,96.8
00694,100.0,0.0,0.0,0.0,0.0,100.0
00698,75.3,3.8,0.5,0.0,0.0,99.4
00703,54.9,9.3,1.0,0.0,0.0,99.5
00704,57.9,32.9,0.0,0.2,0.0,99.6
00705,74.7,15.2,0.1,0.1,0.0,99.6
00707,12.6,86.3,0.1,0.0,0.0,98.8
00714,64.3,19.7,0.0,0.0,0.0,99.8
00715,55.1,16.6,0.0,0.0,0.0,100.0
00716,80.3,6.7,0.0,0.1,0.0,98.8
00717,75.2,6.7,0.5,0.0,0.0,99.0
00718,69.8,3.8,0.0,0.4,0.0,99.2
00719,85.2,7.4,0.0,0.0,0.0,100.0
00720,81.1,3.6,0.2,0.0,0.0,99.6
00723,13.8,84.6,0.0,0.0,0.0,99.8
00725,72.8,9.4,0.4,0.1,0.0,98.3
00727,80.3,7.2,0.0,0.2,0.0,99.2
00728,78.5,5.5,0.1,0.1,0.0,99.6
00729,49.0,11.8,0.1,0.6,0.0,99.7
00730,79.2,4.8,0.0,0.0,0.0,99.0
00731,77.5,3.6,0.1,0.0,0.0,99.6
00735,60.7,8.3,0.4,0.2,0.0,98.5
00736,63.5,6.9,0.1,0.3,0.0,99.3
00738,56.8,10.2,0.1,0.5,0.0,99.0
00739,72.8,9.1,0.3,0.0,0.0,99.5
00740,46.5,20.1,0.6,0.5,0.0,100.0
00741,35.5,46.5,0.0,0.0,0.0,99.4
00745,52.0,13.2,0.2,0.3,0.0,99.1
00751,56.6,39.7,0.1,0.2,0.0,99.8
00754,63.0,31.3,0.1,0.1,0.0,99.8
00757,58.0,37.3,0.2,0.0,0.0,99.6
00765,54.4,7.5,0.1,0.2,0.0,94.9
00766,56.8,3.4,0.0,0.0,0.0,99.7
00767,18.6,78.9,0.0,0.0,0.0,99.9
00769,66.5,29.0,0.0,0.0,0.0,99.3
00771,20.3,77.5,0.1,0.0,0.0,99.7
00772,14.3,45.9,0.1,0.2,0.0,100.0
00773,60.3,9.4,0.1,0.2,0.0,98.7
00775,53.7,5.9,0.4,2.0,0.0,91.3
00777,49.1,14.3,0.1,0.2,0.0,99.3
00778,65.3,13.8,0.1,0.1,0.0,96.8
00780,69.0,5.5,0.0,0.0,0.0,98.7
00782,82.6,11.9,0.3,0.0,0.0,99.5
00783,80.6,7.7,0.0,0.0,0.0,99.1
00784,73.7,14.0,0.0,0.2,0.4,99.0
00786,100.0,0.0,0.0,0.0,0.0,100.0
00791,55.0,19.4,0.3,0.6,0.0,98.9
00794,85.8,4.3,0.1,0.0,0.0,99.9
00795,44.8,8.8,0.1,0.2,0.0,99.8
00901,70.6,12.4,0.2,0.3,0.1,94.5
00906,100.0,0.0,0.0,0.0,0.0,100.0
00907,72.9,9.1,0.2,0.0,0.0,94.4
00909,49.9,15.2,1.1,0.2,0.0,97.6
00911,66.5,8.9,2.8,2.2,0.0,88.2
00912,42.9,18.7,0.0,2.3,0.2,98.2
00913,42.3,8.3,1.0,0.3,0.0,97.6
00915,30.1,15.1,1.4,0.5,0.0,98.8
00917,70.1,12.0,0.1,0.3,0.2,98.8
00918,79.9,7.0,0.1,0.2,0.1,99.4
00920,60.3,21.8,0.2,0.2,0.0,99.3
00921,54.9,21.2,0.1,0.0,0.0,99.3
00923,67.7,13.8,0.4,0.0,0.0,99.2
00924,62.6,17.5,0.4,0.1,0.0,98.5
00925,56.9,20.2,0.2,1.8,0.0,95.7
00926,77.5,9.8,0.1,0.4,0.0,98.3
00927,81.8,6.8,0.2,1.0,0.0,95.7
00934,57.8,42.2,0.0,0.0,0.0,33.0
00936,88.9,3.8,0.0,0.0,0.0,96.1
00949,74.2,10.5,0.0,0.0,0.0,98.6
00950,-,-,-,-,-,-
00951,-,-,-,-,-,-
00952,58.9,20.8,0.0,0.0,0.0,100.0
00953,82.5,7.2,0.1,0.4,0.0,98.5
00956,70.6,8.5,0.2,0.1,0.0,99.0
00957,69.7,6.7,0.2,0.2,0.0,99.0
00959,69.1,9.2,0.1,0.2,0.0,98.6
00960,56.0,17.0,0.0,0.0,0.0,98.1
00961,65.5,9.1,0.0,0.4,0.0,99.3
00962,67.6,13.9,0.0,0.0,0.0,98.8
00965,62.4,13.8,0.4,0.2,0.0,99.6
00966,78.4,5.6,0.5,0.1,0.0,98.9
00968,83.1,3.0,0.0,0.0,0.0,98.7
00969,78.9,6.1,0.1,0.0,0.0,97.6
00971,70.5,7.4,0.1,0.0,0.0,99.6
00976,78.8,9.5,0.1,0.1,0.0,99.0
00979,68.5,13.4,1.6,1.5,0.0,94.1
00982,56.3,21.9,1.3,0.5,0.0,99.1
00983,50.7,22.7,0.9,0.0,0.0,99.0
00985,50.5,23.9,2.2,0.1,0.0,99.7
00987,52.3,19.5,1.1,0.1,0.0,99.4
01001,92.6,2.6,0.0,2.8,0.0,5.2
01002,75.5,5.6,0.5,11.2,0.4,7.5
01003,73.3,4.3,0.4,18.2,0.0,6.9
01005,94.8,2.4,0.0,0.6,0.6,2.0
01007,93.3,0.6,0.0,4.4,0.0,1.4
01008,98.9,0.0,0.4,0.0,0.0,2.7
01009,100.0,0.0,0.0,0.0,0.0,0.0
01010,93.8,3.9,0.0,0.5,0.0,2.2
01011,99.1,0.3,0.0,0.2,0.0,0.3
01012,97.8,0.0,0.0,0.0,1.5,1.7
01013,83.4,5.6,0.0,2.3,0.0,29.3
01020,89.0,3.6,0.2,2.3,0.0,15.8
01022,69.1,20.1,0.0,3.1,0.0,8.5
01026,98.3,0.0,0.0,0.5,0.0,1.5
01027,93.0,1.7,0.0,1.4,0.0,4.2
01028,88.7,4.7,0.1,4.4,0.0,3.9
01029,99.4,0.0,0.0,0.0,0.0,1.3
01030,94.7,1.5,0.0,0.7,0.0,5.7
01031,93.7,0.6,0.0,0.0,0.0,4.6
01032,99.4,0.0,0.0,0.0,0.0,6.1
01033,95.4,1.0,0.0,0.8,0.0,3.9
01034,98.1,0.0,0.4,0.1,0.0,2.3
01035,85.4,7.9,0.5,3.4,0.0,2.3
01036,96.4,0.2,0.4,0.7,0.0,3.7
01037,96.5,0.8,0.3,0.5,0.0,5.5
01038,96.2,0.5,0.8,0.3,0.0,3.4
01039,93.9,2.0,0.0,0.0,0.0,7.1
01040,87.5,4.5,0.3,0.7,0.1,53.9
01050,96.6,0.7,0.4,0.0,0.0,0.8
01053,93.4,4.7,0.0,0.6,0.0,2.6
01054,95.6,0.3,0.3,2.1,0.0,1.2
01056,92.4,1.4,0.1,1.1,0.0,8.6
01057,96.6,1.0,0.0,0.9,0.0,1.3
01060,86.7,2.6,0.2,4.3,0.1,7.6
01062,91.3,1.1,0.1,1.4,0.0,11.5
01063,74.1,1.5,0.0,16.9,0.0,7.5
01066,100.0,0.0,0.0,0.0,0.0,0.0
01068,98.3,0.3,0.2,0.2,0.0,2.1
01069,89.7,2.5,0.0,2.4,0.0,5.2
01070,93.7,0.3,0.3,2.3,0.0,4.0
01071,93.6,3.2,0.4,0.0,0.0,4.7
01072,89.9,0.9,0.2,1.4,0.0,3.9
01073,95.6,0.4,0.0,2.3,0.0,0.0
01074,92.9,0.0,0.0,0.0,0.0,7.1
