GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,96.2,1.0,0.0,0.0,0.0,99.8
00602,58.5,2.7,0.1,0.2,0.0,93.2
00603,73.0,3.6,0.1,1.2,0.0,96.3
00606,87.6,2.4,0.0,0.0,0.0,99.9
00610,67.1,3.5,0.0,0.1,0.0,99.1
00612,83.5,4.7,0.2,1.3,0.0,99.6
00616,92.3,2.2,0.2,0.0,0.0,99.8
00617,96.3,1.7,0.0,0.1,0.0,99.3
00622,89.0,1.5,0.0,0.0,0.0,98.6
00623,88.2,3.2,0.1,0.0,0.0,99.8
00624,85.8,2.8,0.2,0.1,0.0,99.2
00627,88.8,1.5,0.1,0.1,0.0,99.4
00631,89.2,0.0,0.0,0.0,0.0,99.5
00637,86.1,3.3,0.4,0.0,0.0,99.0
00638,96.4,0.7,0.0,0.0,0.0,99.6
00641,87.6,2.4,0.1,0.7,0.0,99.5
00646,74.4,14.1,0.0,0.1,0.0,97.6
00647,88.9,2.9,0.1,0.0,0.0,99.9
00650,95.4,1.5,0.0,0.2,0.0,99.9
00652,88.1,3.6,0.0,1.1,0.0,99.3
00653,86.3,3.5,0.3,0.0,0.0,99.3
00656,89.1,2.8,0.7,0.0,0.0,99.8
00659,95.2,0.9,0.0,0.3,0.0,99.2
00660,43.0,3.3,0.0,0.4,0.0,99.1
00662,66.3,5.3,0.8,0.0,0.0,98.8
00664,85.1,2.3,0.5,0.1,0.0,99.8
00667,87.4,2.5,0.1,0.0,0.0,99.7
00669,95.3,0.8,0.0,0.1,0.0,99.7
00670,93.5,0.8,0.2,0.0,0.0,99.0
00674,86.7,4.2,0.0,0.0,0.0,98.8
00676,79.8,2.6,0.2,0.1,0.1,99.2
00677,57.2,3.0,0.1,0.2,0.0,91.2
00678,72.9,3.7,0.2,0.0,0.0,99.3
00680,55.0,3.5,0.1,0.1,0.0,99.0
00682,49.2,4.9,0.1,0.1,0.0,98.5
00683,90.9,2.8,0.1,0.0,0.0,99.5
00685,90.3,1.5,0.0,0.1,0.0,99.2
00687,86.2,1.2,0.0,0.1,0.0,99.7
00688,91.6,2.2,0.2,0.1,0.0,98.8
00690,60.8,3.4,0.0,0.1,0.0,94.9
00692,77.2,10.0,0.1,0.2,0.0,98.7
00693,92.6,3.0,0.2,0.1,0.1,97.1
00694,90.3,0.0,0.0,0.0,0.0,100.0
00698,89.9,2.7,0.4,0.1,0.0,99.3
00703,78.8,3.6,0.0,0.0,0.0,99.3
00704,58.5,6.9,0.4,0.0,0.0,98.7
00705,82.2,7.4,0.0,0.1,0.0,99.8
00707,50.3,29.2,0.1,0.0,0.0,99.9
00714,52.2,25.7,0.0,0.0,0.0,99.7
00715,47.9,19.5,0.3,0.0,0.0,99.1
00716,72.3,6.0,0.0,0.1,0.0,99.6
00717,71.4,4.7,0.1,0.4,0.0,99.2
00718,63.1,3.8,0.0,0.8,0.0,99.6
00719,48.1,4.0,0.0,0.0,0.0,99.7
00720,79.8,3.2,0.0,0.0,0.0,99.8
00723,58.6,18.0,1.2,0.0,0.1,99.8
00725,74.2,8.0,0.2,0.5,0.0,99.1
00727,76.7,6.5,0.1,0.2,0.0,99.1
00728,81.5,4.1,0.3,0.0,0.0,99.4
00729,49.8,14.6,0.1,0.5,0.0,99.8
00730,73.7,6.5,0.1,0.0,0.0,99.2
00731,84.6,2.6,0.1,0.0,0.0,99.7
00735,60.0,5.7,0.0,1.2,0.0,99.4
00736,73.4,3.3,0.0,0.6,0.0,99.5
00738,60.0,9.5,0.1,0.5,0.0,99.1
00739,75.1,3.3,0.2,0.4,0.0,99.6
00740,49.5,7.0,0.0,0.0,0.0,100.0
00741,47.3,16.8,1.0,0.0,0.0,99.6
00745,54.7,13.4,0.1,0.2,0.0,99.6
00751,55.8,7.5,0.0,0.4,0.0,99.1
00754,81.0,4.6,0.0,0.0,0.0,99.7
00757,57.7,7.5,0.0,0.0,0.0,99.9
00765,42.0,13.3,0.6,1.4,0.0,97.6
00766,62.0,3.1,0.3,0.0,0.0,99.6
00767,69.7,12.9,0.3,0.1,0.0,99.6
00769,67.1,7.8,0.0,0.0,0.0,99.8
00771,74.3,5.3,0.0,0.3,0.0,99.8
00772,13.7,40.9,0.2,0.2,0.0,100.0
00773,54.7,10.3,0.3,0.8,0.0,97.7
00775,59.9,3.1,0.0,0.0,0.0,95.5
00777,76.8,4.3,0.0,0.0,0.0,99.5
00778,60.3,11.1,0.1,0.3,0.0,99.6
00780,70.3,3.0,0.0,0.0,0.0,99.8
00782,60.1,2.8,0.1,0.1,0.0,99.9
00783,47.9,1.4,0.0,0.0,0.0,99.8
00784,68.4,13.3,0.4,0.1,0.0,99.8
00786,95.4,0.0,0.0,0.0,0.0,100.0
00791,59.5,7.5,0.3,0.8,0.0,98.9
00794,47.1,3.3,0.1,0.0,0.0,99.8
00795,60.1,10.0,0.2,0.4,0.0,99.7
00901,73.6,11.5,0.2,0.6,0.0,94.6
00906,83.7,0.0,0.0,16.3,0.0,100.0
00907,73.5,13.9,0.5,0.3,0.0,95.6
00909,55.2,16.5,1.3,0.4,0.0,98.2
00911,71.4,13.9,0.3,0.0,0.0,92.5
00912,50.5,22.6,0.7,0.8,0.0,98.8
00913,59.0,21.1,0.3,0.0,0.0,97.9
00915,48.0,23.6,1.3,0.4,0.0,98.9
00917,69.6,13.4,0.9,0.3,0.0,99.0
00918,81.1,4.1,0.1,0.1,0.0,98.6
00920,69.7,22.0,0.1,0.0,0.0,98.4
00921,65.1,27.1,0.3,0.3,0.0,98.6
00923,62.5,17.8,0.3,1.7,0.0,98.0
00924,60.7,16.6,0.4,2.2,0.0,98.1
00925,53.8,14.5,0.5,6.7,0.0,95.8
00926,68.6,6.9,0.2,0.6,0.0,99.0
00927,85.1,8.3,0.0,0.7,0.0,97.3
00934,33.5,29.8,0.0,0.0,0.0,64.4
00936,66.9,6.0,0.0,3.2,0.0,98.2
00949,53.9,9.8,0.2,0.1,0.0,99.2
00950,-,-,-,-,-,-
00951,46.7,53.3,0.0,0.0,0.0,100.0
00952,25.7,11.3,0.0,0.0,0.0,99.1
00953,62.5,8.1,0.3,0.0,0.0,99.6
00956,61.9,8.4,0.5,0.2,0.0,99.6
00957,60.2,6.9,0.8,0.2,0.0,99.3
00959,60.6,7.8,1.0,0.2,0.0,98.7
00960,42.6,8.4,0.7,0.3,0.0,98.9
00961,52.1,8.7,0.8,0.5,0.0,98.2
00962,65.7,8.1,0.3,0.4,0.0,99.4
00965,60.5,11.2,0.6,0.1,0.0,98.9
00966,84.0,3.5,0.2,0.2,0.0,98.1
00968,91.8,2.3,0.0,1.0,0.0,96.5
00969,81.8,4.9,0.5,0.2,0.0,98.2
00971,67.6,7.1,0.4,0.0,0.0,99.3
00976,62.2,9.2,0.1,0.1,0.0,99.5
00979,78.2,12.9,0.8,1.9,0.0,94.5
00982,59.1,24.7,1.8,0.5,0.0,99.3
00983,56.4,23.4,2.8,0.9,0.0,99.0
00985,55.7,24.7,0.8,0.4,0.0,99.2
00987,58.7,20.1,2.6,0.4,0.0,99.1
01001,92.4,1.1,0.1,2.9,0.2,5.9
01002,79.8,4.7,0.4,11.6,0.0,7.5
01003,78.3,7.0,0.2,12.4,0.3,4.9
01005,97.6,0.3,0.1,1.9,0.0,1.4
01007,94.2,1.1,0.0,1.8,0.0,2.6
01008,99.2,0.0,0.0,0.6,0.0,0.6
01009,93.8,0.0,0.0,0.0,0.0,0.0
01010,100.0,0.0,0.0,0.0,0.0,1.2
01011,96.1,1.0,0.0,0.8,0.0,3.0
01012,98.8,0.0,0.0,0.0,0.0,1.4
01013,83.2,2.8,0.1,1.7,0.0,23.7
01020,88.5,2.8,0.1,1.3,0.0,12.7
01022,81.2,10.6,0.0,0.7,0.0,4.8
01026,94.3,3.6,0.5,0.0,0.0,1.9
01027,92.4,0.7,0.0,3.3,0.0,4.5
01028,93.8,3.6,0.0,1.6,0.0,3.0
01029,94.6,0.6,0.0,4.4,0.0,0.9
01030,95.0,1.3,1.4,1.5,0.0,5.2
01031,92.4,0.0,1.2,0.6,0.0,4.0
01032,97.8,0.0,0.0,1.2,0.0,1.0
01033,99.2,0.0,0.0,0.0,0.0,6.0
01034,97.0,0.3,0.7,0.4,0.0,0.7
01035,95.3,2.7,0.0,1.1,0.0,4.7
01036,98.6,0.4,0.0,0.0,0.0,1.0
01037,92.4,0.0,0.0,0.0,0.0,9.7
01038,96.6,0.3,0.0,2.1,0.0,0.0
01039,97.6,0.4,0.0,0.5,0.0,3.8
01040,81.0,4.5,0.5,1.7,0.0,47.0
01050,92.1,2.7,0.0,0.0,0.3,5.7
01053,88.2,5.5,0.0,1.6,0.0,7.9
01054,92.8,3.2,0.0,1.7,0.0,2.5
01056,95.4,1.6,0.1,0.7,0.1,5.4
01057,96.8,0.4,0.0,0.3,0.0,1.4
01060,85.0,2.9,0.2,7.5,0.1,7.8
01062,88.2,2.3,0.0,5.9,0.0,7.4
01063,75.0,4.7,0.0,12.7,0.0,6.4
01066,100.0,0.0,0.0,0.0,0.0,0.0
01068,99.2,0.0,0.2,0.0,0.0,0.6
01069,99.0,0.4,0.0,0.1,0.0,1.2
01070,92.6,1.4,0.2,1.9,0.0,0.9
01071,94.9,0.6,0.0,0.3,0.0,1.1
01072,92.6,0.9,0.3,0.5,0.0,5.2
01073,97.4,0.6,0.0,0.0,0.0,0.3
01074,100.0,0.0,0.0,0.0,0.0,0.0
01075,91.2,3.8,0.1,2.6,0.1,4.6
01077,96.7,0.0,0.0,1.6,0.0,0.5
01079,100.0,0.0,0.0,0.0,0.0,0.0
01080,95.8,1.3,0.0,0.0,0.0,9.3
01081,98.5,0.4,0.5,0.0,0.0,0.2
01082,96.8,0.2,0.1,0.4,0.3,2.1
01083,99.6,0.0,0.0,0.0,0.0,1.4
01084,100.0,0.0,0.0,0.0,0.0,1.4
01085,90.1,1.9,0.0,2.9,0.2,8.4
01086,88.5,8.4,0.0,2.5,0.0,3.3
01088,92.6,7.4,0.0,0.0,0.0,9.0
01089,85.0,3.1,1.2,4.2,0.0,9.7
01092,99.9,0.1,0.0,0.0,0.0,0.0
01093,98.9,0.0,0.0,0.0,0.0,0.0
01094,100.0,0.0,0.0,0.0,0.0,1.6
01095,95.3,2.1,0.0,1.1,0.0,2.5
01096,98.0,0.2,0.0,0.4,0.5,2.6
01097,100.0,0.0,0.0,0.0,0.0,0.0
01098,96.2,0.3,0.0,1.0,0.4,0.9
01103,63.2,12.0,0.2,2.2,0.0,62.7
01104,58.0,13.4,0.1,1.1,0.1,53.2
01105,33.7,24.0,1.0,0.0,0.0,62.1
01106,91.4,0.8,0.0,6.2,0.0,3.6
01107,46.3,14.8,0.9,0.4,0.0,78.1
01108,55.6,17.0,1.0,4.7,0.1,41.5
01109,33.2,40.0,0.3,1.4,0.0,36.4
01118,79.1,13.9,0.0,3.5,0.0,17.8
01119,63.5,25.6,0.9,1.6,0.0,25.7
01128,81.2,12.0,0.0,0.2,0.0,4.8
01129,71.9,16.0,0.0,3.6,0.0,16.4
01151,67.0,14.3,0.2,2.7,0.1,41.5
01199,-,-,-,-,-,-
01201,87.9,5.8,0.2,1.5,0.0,5.1
01220,96.7,0.7,0.3,0.0,0.0,0.9
01222,96.7,0.0,0.0,0.9,0.0,0.0
01223,97.3,0.4,0.2,0.5,0.0,1.2
01224,57.9,0.0,0.0,42.1,0.0,0.0
01225,99.0,0.8,0.0,0.0,0.0,0.7
01226,97.9,0.8,0.2,0.1,0.0,3.1
01229,100.0,0.0,0.0,0.0,0.0,0.0
01230,86.6,1.2,0.0,1.6,0.0,10.8
01235,96.2,1.1,0.7,0.1,0.0,0.8
01236,89.8,1.8,0.8,1.0,0.0,3.8
01237,99.3,0.4,0.0,0.1,0.0,0.2
01238,95.4,0.2,0.0,2.5,0.0,2.8
01240,95.1,1.1,0.2,2.4,0.0,2.7
01242,99.5,0.0,0.0,0.0,0.0,0.0
01243,94.3,0.0,5.7,0.0,0.0,0.0
01244,96.0,0.0,0.0,0.0,0.0,4.0
01245,96.0,1.4,0.0,0.0,0.0,2.9
01247,94.9,1.9,0.5,0.3,0.0,2.9
01253,98.4,0.7,0.0,0.0,0.0,2.5
01254,96.1,0.2,1.2,1.2,0.0,2.4
01255,91.3,0.0,0.2,4.0,0.0,1.3
01256,94.3,2.7,0.0,0.0,0.0,1.3
01257,96.7,0.6,0.0,2.0,0.0,1.0
01258,96.4,2.1,0.3,0.0,0.0,1.2
01259,95.2,0.6,0.0,1.5,0.0,0.0
01260,100.0,0.0,0.0,0.0,0.0,0.0
01262,88.3,4.4,0.0,2.3,0.0,2.3
01264,100.0,0.0,0.0,0.0,0.0,0.0
01266,95.2,0.2,1.1,0.6,0.0,1.3
01267,87.7,2.4,1.1,4.3,0.0,4.1
01270,97.7,0.0,0.0,0.0,0.0,0.8
01301,92.9,1.8,0.1,1.8,0.1,6.0
01330,96.7,0.2,0.0,0.3,0.0,0.3
01331,94.5,0.2,0.1,0.9,0.0,6.7
01337,96.4,0.5,0.0,1.7,0.0,3.3
01338,100.0,0.0,0.0,0.0,0.0,0.0
01339,97.6,0.5,0.0,0.7,0.0,0.5
01340,94.2,0.4,0.4,1.4,0.0,1.0
01341,96.6,0.5,0.0,0.5,0.0,1.1
01342,86.1,0.2,0.0,4.2,0.0,5.6
01343,100.0,0.0,0.0,0.0,0.0,0.0
01344,93.9,2.8,0.0,0.5,0.0,3.7
01346,96.1,0.0,0.0,0.4,0.0,3.2
01347,96.1,0.0,0.0,0.0,0.0,0.0
01349,93.6,0.0,1.8,1.2,0.0,0.0
01350,98.3,0.0,0.0,0.0,0.0,0.0
01351,93.9,1.9,0.0,0.6,0.0,1.6
01354,95.1,0.1,0.0,0.0,0.0,5.8
01355,98.2,1.5,0.0,0.0,0.0,0.4
01360,96.6,0.2,0.0,2.1,0.0,2.3
01364,96.6,0.7,0.3,1.1,0.0,1.6
01366,96.3,0.6,0.0,1.9,0.0,0.6
01367,96.7,0.5,0.0,0.2,0.0,2.1
01368,97.5,0.2,0.9,1.0,0.0,1.5
01370,98.0,0.1,0.4,0.2,0.0,0.4
01373,96.6,0.6,0.5,0.6,0.0,1.7
01375,86.0,1.7,0.6,9.0,0.0,4.7
01376,91.0,0.3,1.0,1.9,0.0,6.7
01378,98.0,0.0,0.0,1.4,0.0,2.6
01379,87.6,7.2,0.9,1.8,0.0,0.9
01420,79.1,3.8,0.2,4.4,0.0,23.9
01430,95.5,1.2,0.0,0.0,0.0,1.0
01431,98.2,0.5,0.0,1.2,0.0,1.6
01432,89.4,3.2,0.1,3.1,0.0,5.2
01434,68.5,16.8,2.2,2.1,0.0,16.1
01436,98.6,0.2,0.0,0.0,0.0,0.2
01438,100.0,0.0,0.0,0.0,0.0,0.0
01440,91.0,2.0,0.5,1.3,0.0,8.0
01450,93.7,1.0,0.2,3.6,0.0,1.7
01451,90.0,4.7,0.4,3.7,0.0,3.4
01452,96.8,2.6,0.0,0.2,0.0,0.0
01453,82.8,5.1,0.2,2.6,0.0,15.0
01460,91.9,0.3,0.0,4.7,0.0,1.1
01462,93.7,1.6,0.0,1.7,0.0,4.4
01463,95.5,0.7,0.0,1.6,0.0,3.0
01464,74.3,9.3,0.0,0.9,0.2,14.9
01467,93.0,0.0,0.0,2.5,0.0,0.2
01468,100.0,0.0,0.0,0.0,0.0,0.6
01469,95.0,0.1,0.3,1.8,0.0,2.2
01473,98.0,0.9,0.3,0.0,0.0,1.6
01474,96.2,0.0,0.0,3.6,0.0,0.0
01475,92.0,0.6,0.2,3.2,0.0,3.2
01501,95.3,2.8,0.0,0.9,0.0,3.3
01503,96.4,0.4,0.0,1.8,0.0,2.8
01504,93.4,1.6,0.0,0.6,0.0,4.5
01505,94.2,1.0,0.0,2.5,0.0,1.4
01506,96.4,0.3,0.2,0.4,0.0,0.0
01507,97.4,0.6,0.0,0.4,0.0,0.9
01510,88.5,1.7,0.6,1.4,0.0,11.1
01515,96.0,0.8,0.8,0.3,0.0,1.1
01516,97.6,0.4,0.0,0.1,0.0,3.7
01518,100.0,0.0,0.0,0.0,0.0,0.8
01519,91.4,4.5,0.0,2.3,0.0,0.2
01520,94.3,1.1,0.0,3.3,0.2,2.3
01521,95.9,2.2,0.0,0.2,0.0,4.2
01522,95.7,1.6,0.8,1.2,0.0,1.1
01523,86.6,6.7,0.4,0.9,0.0,6.3
01524,97.9,0.6,0.0,1.0,0.0,4.7
01525,100.0,0.0,0.0,0.0,0.0,0.0
01527,95.0,1.2,0.1,2.5,0.0,3.2
01529,94.0,1.2,0.0,1.0,0.0,2.8
01531,98.7,0.6,0.0,0.4,0.0,1.2
01532,86.3,1.5,0.0,8.8,0.0,3.7
01534,97.7,0.0,0.0,1.8,0.0,3.6
01535,96.6,1.8,0.0,0.5,0.0,0.6
01536,89.3,1.1,0.0,4.2,0.4,4.2
01537,92.6,0.0,0.0,0.8,0.0,6.7
01540,95.9,0.6,0.4,0.3,0.0,4.3
01541,93.4,1.0,0.0,1.3,0.0,6.0
01542,96.8,0.7,1.3,0.0,0.0,0.6
01543,96.2,0.6,0.0,1.7,0.0,2.9
01545,77.2,2.6,0.1,16.5,0.0,3.4
01550,73.4,2.5,0.3,2.9,0.0,32.4
01560,72.6,4.8,0.0,17.7,0.0,7.9
01561,76.8,0.0,0.0,8.4,0.0,0.0
01562,95.4,0.4,0.7,0.3,0.0,5.1
01564,96.9,0.9,0.4,1.2,0.0,2.5
01566,96.5,0.4,0.2,1.6,0.0,4.2
01568,93.2,0.2,0.0,2.7,0.7,1.3
01569,95.9,0.6,0.0,1.9,0.0,1.2
01570,88.5,3.6,0.0,2.8,0.0,8.8
01571,93.6,2.0,0.2,0.7,0.0,2.2
01581,73.8,2.9,0.3,18.3,0.0,6.5
01583,88.9,5.9,0.1,0.7,0.0,5.0
01585,95.0,2.7,0.0,0.6,0.0,0.7
01588,94.2,0.4,0.0,1.2,0.0,1.8
01590,98.1,0.6,0.0,0.4,0.0,0.0
01602,79.7,10.5,0.0,4.2,0.0,10.5
01603,72.3,9.6,0.4,12.2,0.2,23.8
01604,74.7,13.0,0.4,7.5,0.0,15.0
01605,61.7,16.3,0.3,6.7,0.1,28.2
01606,81.6,12.0,0.1,3.3,0.0,6.7
01607,69.6,14.7,1.0,4.9,0.0,21.3
01608,63.7,14.2,1.4,1.5,0.0,55.1
01609,76.3,9.8,0.5,6.3,0.2,14.8
01610,65.2,12.3,0.1,8.0,0.0,37.7
01611,91.8,2.6,0.6,3.0,0.0,10.4
01612,87.7,3.2,0.0,0.5,0.0,10.6
01701,83.7,6.4,0.1,6.0,0.0,5.6
01702,67.1,9.4,0.1,8.6,0.0,21.1
01718,68.0,23.1,0.0,8.9,0.0,0.0
01719,78.6,0.4,0.0,19.5,0.0,0.5
01720,76.2,0.4,0.1,20.9,0.0,2.0
01721,86.5,2.8,0.0,7.3,0.0,3.1
01730,84.1,1.6,0.0,11.4,0.0,4.5
01731,84.3,5.2,0.0,1.1,0.0,16.3
01740,96.5,0.3,0.0,2.2,0.0,3.6
01741,87.7,1.0,0.2,7.7,0.0,1.4
01742,86.9,3.1,0.0,5.3,0.0,4.7
01745,74.1,0.0,0.0,25.9,0.0,0.0
01746,95.0,0.7,0.0,2.1,0.4,2.6
01747,94.7,0.3,0.0,1.4,0.0,5.5
01748,92.4,0.7,0.0,5.1,0.0,1.6
01749,90.7,0.9,0.1,2.4,0.0,3.6
01752,79.8,2.1,0.1,4.6,0.0,12.8
01754,88.2,2.7,0.0,4.5,0.0,3.7
01756,95.8,0.7,0.4,1.3,0.0,5.1
01757,85.9,2.9,0.3,2.7,0.1,8.5
01760,86.5,1.6,0.2,9.3,0.0,3.2
01770,94.1,0.0,0.0,4.9,0.0,1.0
01772,81.7,1.8,0.0,14.5,0.0,0.9
01773,84.1,3.5,0.0,8.8,0.0,4.0
01775,94.5,0.0,0.2,2.2,0.0,3.4
