GEOGRAPHY,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
00601,75.5,0.8,0.1,0.0,0.0,99.7
00602,79.4,2.8,0.0,0.0,0.0,93.5
00603,76.5,4.0,0.2,0.7,0.0,97.4
00606,40.8,2.3,0.3,0.0,0.0,99.8
00610,75.5,2.6,0.0,0.0,0.0,96.2
00612,80.7,4.6,0.4,1.0,0.0,99.3
00616,86.9,5.4,0.1,0.0,0.0,99.5
00617,86.0,3.5,0.0,0.6,0.0,99.8
00622,29.1,0.5,0.0,0.0,0.0,100.0
00623,27.7,2.2,0.3,0.0,0.0,99.8
00624,71.3,3.7,0.2,0.2,0.0,99.7
00627,81.3,1.7,0.0,0.0,0.0,99.3
00631,69.0,0.0,0.0,0.0,0.0,100.0
00637,69.8,2.4,0.2,0.0,0.0,99.8
00638,96.4,1.0,0.0,0.0,0.0,99.0
00641,61.7,1.4,0.1,0.3,0.0,99.4
00646,79.0,12.2,0.0,0.1,0.0,98.5
00647,63.3,2.3,0.0,0.0,0.0,100.0
00650,86.1,1.4,0.0,0.2,0.0,98.9
00652,84.8,1.3,0.0,0.7,0.0,99.5
00653,62.0,5.1,0.3,0.0,0.0,98.5
00656,76.8,1.9,0.7,0.6,0.0,99.5
00659,97.7,0.6,0.0,0.0,0.0,99.9
00660,30.2,2.4,0.0,0.0,0.0,99.8
00662,67.7,5.5,0.1,0.0,0.0,98.5
00664,68.6,2.0,0.3,0.0,0.0,99.6
00667,31.3,1.4,0.0,0.0,0.0,99.7
00669,71.5,0.5,0.0,0.0,0.0,99.5
00670,51.1,1.1,0.0,0.0,0.0,99.5
00674,84.6,4.4,0.2,0.2,0.0,98.4
00676,79.6,3.4,0.3,0.2,0.0,99.2
00677,81.7,1.2,0.0,0.0,0.0,88.8
00678,82.6,4.5,0.3,0.1,0.0,98.9
00680,27.5,3.3,0.3,0.0,0.0,99.5
00682,29.1,4.2,0.1,0.1,0.0,98.8
00683,58.7,2.2,0.1,0.0,0.0,99.3
00685,70.4,2.8,0.0,0.3,0.0,97.8
00687,92.6,1.5,0.1,0.1,0.0,99.5
00688,84.2,2.3,0.2,0.7,0.0,99.3
00690,81.5,1.3,0.0,0.4,0.0,99.2
00692,74.3,10.9,0.1,0.3,0.0,98.3
00693,85.4,5.2,0.1,0.0,0.0,97.2
00694,100.0,0.0,0.0,0.0,0.0,100.0
00698,77.6,3.6,0.4,0.0,0.0,99.7
00703,63.2,7.9,1.1,0.0,0.0,99.0
00704,58.8,31.0,0.5,0.2,0.0,99.7
00705,76.0,12.1,0.1,0.1,0.0,99.6
00707,25.6,72.8,0.1,0.0,0.0,98.8
00714,60.7,19.0,0.0,0.0,0.0,99.8
00715,55.9,16.8,0.0,0.0,0.0,100.0
00716,80.2,5.9,0.0,0.1,0.0,99.0
00717,75.7,6.5,0.4,0.0,0.0,99.1
00718,66.1,4.0,0.0,0.3,0.0,99.4
00719,84.5,6.3,0.0,0.0,0.0,99.9
00720,83.4,3.4,0.2,0.0,0.0,99.6
00723,25.3,72.4,0.3,0.0,0.0,99.7
00725,74.5,9.0,0.4,0.1,0.0,98.7
00727,79.0,7.7,0.0,0.3,0.0,99.4
00728,77.6,5.3,0.2,0.2,0.0,99.7
00729,49.8,11.6,0.1,0.3,0.0,99.6
00730,79.1,5.3,0.1,0.0,0.0,99.3
00731,77.4,2.6,0.2,0.0,0.0,99.6
00735,64.0,8.5,0.1,0.2,0.0,98.7
00736,69.6,6.2,0.0,0.1,0.0,99.6
00738,57.6,10.1,0.1,0.4,0.0,98.6
00739,82.6,8.9,0.3,0.0,0.0,99.5
00740,43.9,21.7,0.8,0.6,0.0,100.0
00741,37.6,44.7,0.0,0.0,0.0,100.0
00745,53.2,13.0,0.1,0.3,0.0,99.4
00751,56.5,33.7,0.1,0.5,0.0,99.5
00754,77.5,16.7,0.1,0.1,0.0,99.9
00757,56.5,35.2,0.2,0.0,0.0,99.6
00765,60.0,9.8,0.1,1.8,0.0,93.9
00766,53.5,2.8,0.0,0.0,0.0,99.8
00767,30.7,66.6,0.1,0.0,0.0,99.9
00769,66.8,25.5,0.0,0.0,0.0,99.4
00771,34.9,62.3,0.0,0.0,0.0,99.8
00772,14.7,45.1,0.0,0.2,0.0,100.0
00773,59.1,10.1,0.1,0.3,0.0,98.5
00775,50.0,5.2,0.5,1.0,0.0,92.1
00777,47.5,12.6,0.1,0.2,0.0,99.3
00778,66.7,12.3,0.0,0.1,0.0,97.7
00780,72.0,4.4,0.0,0.0,0.0,99.1
00782,82.5,9.5,0.4,0.1,0.0,99.6
00783,79.4,6.6,0.0,0.0,0.0,98.9
00784,72.7,13.9,0.0,0.2,0.4,98.8
00786,100.0,0.0,0.0,0.0,0.0,100.0
00791,56.5,18.3,0.3,0.5,0.0,99.2
00794,88.9,4.8,0.1,0.0,0.0,100.0
00795,45.8,8.7,0.1,0.2,0.0,99.9
00901,75.6,11.3,0.2,0.4,0.1,94.8
00906,96.2,0.0,0.0,3.8,0.0,100.0
00907,74.5,10.7,0.2,0.2,0.0,94.8
00909,53.0,11.0,1.6,0.0,0.0,99.1
00911,67.9,10.2,2.7,0.6,0.0,91.5
00912,45.2,20.1,0.0,2.2,0.3,98.2
00913,46.2,11.1,1.1,0.0,0.0,98.8
00915,35.6,14.4,1.5,0.7,0.0,98.9
00917,74.5,12.4,0.3,0.3,0.2,98.8
00918,84.2,5.8,0.0,0.0,0.0,99.3
00920,62.7,21.7,0.2,0.2,0.0,98.9
00921,59.8,20.7,0.1,0.0,0.0,98.9
00923,72.9,14.3,0.4,0.2,0.0,99.1
00924,66.3,16.3,0.4,0.2,0.0,98.2
00925,58.2,17.6,0.1,1.7,0.0,95.8
00926,80.2,8.9,0.1,0.4,0.0,98.7
00927,83.8,5.0,0.2,1.7,0.0,96.4
00934,24.1,75.9,0.0,0.0,0.0,32.9
00936,93.6,2.3,0.0,0.0,0.0,97.7
00949,68.9,10.1,0.0,0.0,0.0,98.9
00950,-,-,-,-,-,-
00951,-,-,-,-,-,-
00952,58.6,18.5,0.0,0.0,0.0,100.0
00953,81.5,7.5,0.3,0.4,0.0,99.0
00956,69.8,7.8,0.2,0.1,0.0,99.1
00957,67.2,5.4,0.1,0.1,0.0,99.4
00959,67.5,8.8,0.1,0.2,0.0,99.0
00960,53.2,14.2,0.0,0.0,0.0,98.3
00961,61.1,8.8,0.2,0.3,0.0,99.1
00962,65.2,10.7,0.0,0.3,0.0,98.9
00965,60.3,8.7,0.3,0.2,0.0,99.4
00966,80.4,4.4,0.5,0.1,0.0,98.8
00968,86.7,2.4,0.0,1.1,0.0,98.3
00969,81.4,5.3,0.1,0.0,0.0,97.8
00971,72.5,8.5,0.3,0.0,0.0,99.3
00976,81.0,9.7,0.1,0.1,0.0,99.2
00979,71.5,14.7,1.3,1.7,0.0,93.4
00982,55.5,22.6,1.8,0.6,0.0,99.4
00983,49.7,25.3,1.5,0.0,0.0,99.2
00985,49.2,24.9,2.3,0.1,0.0,99.7
00987,53.2,20.6,2.0,0.0,0.0,99.4
01001,92.5,2.0,0.0,3.1,0.0,5.5
01002,75.8,6.2,0.4,11.0,0.1,7.3
01003,74.3,5.1,0.5,16.2,0.0,5.6
01005,95.2,2.3,0.0,0.8,0.5,1.2
01007,94.7,0.6,0.0,3.3,0.0,1.4
01008,98.8,0.0,0.3,0.0,0.0,1.7
01009,100.0,0.0,0.0,0.0,0.0,0.0
01010,95.2,3.6,0.0,0.5,0.0,2.6
01011,98.3,0.3,0.0,0.1,0.0,0.8
01012,99.1,0.0,0.0,0.0,0.9,0.5
01013,83.4,5.1,0.0,2.3,0.0,27.6
