RegionName,City,Metro,CountyName,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021,GrowthRate2022
78221,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78216,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,16.01660375,2.817978568,7.39184715,11.30472303
78109,Converse,"San Antonio-New Braunfels, TX",Bexar County,3.299495295,3.092069804,3.351879919,3.3472449,2.919722639,9.425710806,10.88040592
78209,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1109.466375,4.117590458,2.145315328,3.608641054,2.458903108,4.304565258,9.996222802
78244,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,4.134705098,2.760235948,4.478160813,3.998705328,3.171913707,8.121841521,12.01673881
78237,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78218,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,520.7040537,-3.234378262,11.30215896,4.811484547,6.46986877,9.524429766
78232,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,33.47960899
78260,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78210,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,15.83365853,6.863850126,5.942065984,11.66853597
78023,Helotes,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78229,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,143.5784673,2.440719692,4.784115652,12.11520597
78217,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,36.95075326,4.791109042,5.066610596,6.518687084,3.837808266
78242,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78239,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,38.05454757,4.065334219,4.225576426,4.674368741,9.700604367,11.77858031
78238,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1115.723899,6.6962583,13.53318385
78212,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,58.45217888,3.536412591,4.829250461,3.431581353,8.967061168,11.01690686
78222,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78259,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78261,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,545.1774104,2.606989974,0.720484839,11.70870292,11.30873002
78148,Universal City,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78214,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78224,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78015,Fair Oaks Ranch,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78219,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,305.9851267
78220,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78255,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78248,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78252,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78204,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,24.9260841,8.598000301
78256,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,46.27886236,12.37253326,13.3738505
78202,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,317.8967953
78231,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78257,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,35.52626591,0.196058978,6.484652477,9.440511657
78208,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78215,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,291.1602872,-4.714414141,7.308450998,9.058295976
78152,Saint Hedwig,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
78205,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31210,Macon,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31206,Macon,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31204,Macon,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31216,Macon,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31220,Macon,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31211,Macon,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31217,,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31201,Macon,"Macon-Bibb County, GA",Bibb County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
83274,Shelley,"Blackfoot, ID",Bingham County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
50613,Cedar Falls,"Waterloo-Cedar Falls, IA",Black Hawk County,#DIV/0!,318.6342177,3.477483218,1.530686926,0.953792076,4.745559843,5.011277065
50701,Waterloo,"Waterloo-Cedar Falls, IA",Black Hawk County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
50702,Waterloo,"Waterloo-Cedar Falls, IA",Black Hawk County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
50703,Waterloo,"Waterloo-Cedar Falls, IA",Black Hawk County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16601,Altoona,"Altoona, PA",Blair County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
